City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
385,Tsaratanana,-16.7833,47.65,74.48,83,64,3.27,MG,2021-01-16 02:05:35
386,Souillac,-20.5167,57.5167,78.8,89,40,8.05,MU,2021-01-16 02:01:09
387,Ponta Do Sol,32.6667,-17.1,52.0,75,18,1.99,PT,2021-01-16 02:05:35
388,Requena,39.4883,-1.1004,46.0,57,0,8.05,ES,2021-01-16 02:05:35
389,Makariv,50.4641,29.8113,10.99,78,62,4.47,UA,2021-01-16 02:05:35
390,Lamas,-6.4167,-76.5333,84.2,61,20,8.05,PE,2021-01-16 02:05:35
391,Hanko,59.8333,22.95,21.99,88,100,11.01,FI,2021-01-16 02:05:36
392,Guerrero Negro,27.9769,-114.0611,67.46,31,0,6.4,MX,2021-01-16 02:05:36
393,Grindavik,63.8424,-22.4338,35.6,100,90,10.36,IS,2021-01-16 02:05:36
394,Port Hedland,-20.3167,118.5667,96.8,32,77,12.66,AU,2021-01-16 02:05:36
395,Kirakira,-10.4544,161.9205,80.58,81,100,5.14,SB,2021-01-16 02:05:36
396,Riwaka,-41.0833,173.0,77.0,65,1,4.0,NZ,2021-01-16 02:05:37
397,Celestun,20.8667,-90.4,72.14,76,100,11.32,MX,2021-01-16 02:05:37
398,Pitimbu,-7.4706,-34.8086,77.0,83,20,3.44,BR,2021-01-16 02:05:37
399,Tsivilsk,55.8611,47.4664,14.0,92,90,8.95,RU,2021-01-16 02:05:37
400,Berbera,10.4396,45.0143,72.34,77,77,4.27,SO,2021-01-16 02:01:46
401,Lasalgaon,20.15,74.2333,67.1,62,76,6.62,IN,2021-01-16 02:05:38
402,Bonthe,7.5264,-12.505,77.04,88,0,3.33,SL,2021-01-16 02:05:38
403,Pimentel,-6.8367,-79.9342,70.39,82,100,7.54,PE,2021-01-16 02:05:38
404,Daru,-9.0763,143.2092,83.35,83,97,12.15,PG,2021-01-16 02:04:31
405,Jijiga,9.35,42.8,59.65,33,44,8.52,ET,2021-01-16 02:05:38
406,Trairi,-3.2778,-39.2689,78.98,81,12,10.71,BR,2021-01-16 02:05:39
407,Plettenberg Bay,-34.0527,23.3716,66.45,76,57,9.46,ZA,2021-01-16 02:05:39
408,Kirensk,57.7853,108.1119,-25.44,82,100,3.85,RU,2021-01-16 02:05:39
409,Kavaratti,10.5669,72.642,81.91,74,93,7.7,IN,2021-01-16 02:05:39
410,Yuci,37.6803,112.7319,26.6,33,0,8.95,CN,2021-01-16 02:05:39
