City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
45,Bambous Virieux,-20.3428,57.7575,81.0,83,75,11.5,MU,2021-01-18 02:47:01
46,Hilo,19.7297,-155.09,77.0,78,90,6.91,US,2021-01-18 02:51:06
47,Chumikan,54.7183,135.315,-19.61,75,61,12.03,RU,2021-01-18 02:58:18
48,Villaviciosa,43.4813,-5.4357,51.01,87,100,1.1,ES,2021-01-18 02:58:18
49,Lazaro Cardenas,17.9583,-102.2,74.46,83,0,2.57,MX,2021-01-18 02:58:18
50,Gambissara,13.2382,-14.3108,74.75,16,100,7.05,SN,2021-01-18 02:58:18
51,Palmer,42.1584,-72.3287,39.0,65,90,9.22,US,2021-01-18 02:53:22
52,Ostrovnoy,68.0531,39.5131,15.44,95,100,20.69,RU,2021-01-18 02:51:13
53,Joshimath,30.5667,79.5667,49.12,35,0,3.06,IN,2021-01-18 02:58:19
54,Kholodnyy,62.7167,147.95,-23.82,81,100,6.11,RU,2021-01-18 02:58:20
55,Batagay,67.6333,134.6333,-50.01,75,51,1.12,RU,2021-01-18 02:58:20
56,Cape Town,-33.9258,18.4232,64.99,82,0,8.05,ZA,2021-01-18 02:50:13
57,Kungurtug,50.5994,97.5228,3.33,87,41,0.98,RU,2021-01-18 02:58:21
58,Sao Filipe,14.8961,-24.4956,71.38,73,0,9.17,CV,2021-01-18 02:58:21
59,Havoysund,70.9963,24.6622,36.03,81,100,18.99,NO,2021-01-18 02:58:21
60,Nome,64.5011,-165.4064,10.4,85,100,10.36,US,2021-01-18 02:52:36
61,Airai,-8.9266,125.4092,66.09,91,100,2.42,TL,2021-01-18 02:51:17
62,Bocana De Paiwas,12.7857,-85.1227,69.84,92,100,4.07,NI,2021-01-18 02:58:22
63,Dikson,73.5069,80.5464,-23.15,84,37,17.63,RU,2021-01-18 02:46:36
64,Provideniya,64.3833,-173.3,3.2,72,90,11.18,RU,2021-01-18 02:58:22
65,Bethel,41.3712,-73.414,39.2,56,90,8.05,US,2021-01-18 02:51:44
66,Hofn,64.2539,-15.2082,39.11,72,100,13.22,IS,2021-01-18 02:47:40
67,Walvis Bay,-22.9575,14.5053,66.0,88,69,4.61,NA,2021-01-18 02:58:24
68,Arraial Do Cabo,-22.9661,-42.0278,75.51,85,90,27.07,BR,2021-01-18 02:51:13
69,Thinadhoo,0.5333,72.9333,81.25,72,0,8.34,MV,2021-01-18 02:58:24
70,Ishigaki,24.3448,124.1572,62.6,55,40,11.5,JP,2021-01-18 02:58:25
71,Aizkraukle,56.6048,25.2553,9.0,89,77,1.01,LV,2021-01-18 02:58:25
72,Yellowknife,62.456,-114.3525,1.4,85,90,6.91,CA,2021-01-18 02:50:43
73,Ucluelet,48.9329,-125.5528,43.0,89,3,6.87,CA,2021-01-18 02:58:02
74,Dolinsk,47.35,142.8,8.6,72,75,13.42,RU,2021-01-18 02:58:26
75,Poum,-20.2333,164.0167,83.37,78,69,11.59,NC,2021-01-18 02:52:07
76,Santa Rita,-7.1139,-34.9781,77.0,83,0,6.91,BR,2021-01-18 02:53:16
77,Saint-Philippe,-21.3585,55.7679,78.8,65,0,3.44,RE,2021-01-18 02:51:31
78,Bria,6.5423,21.9863,65.14,28,52,4.85,CF,2021-01-18 02:58:27
79,Santa Cruz,-17.8,-63.1667,69.8,83,75,11.5,BO,2021-01-18 02:52:52
80,Chicago,41.85,-87.65,32.0,80,90,8.05,US,2021-01-18 02:57:00
81,Kuusamo,65.9667,29.1833,15.8,92,90,3.44,FI,2021-01-18 02:58:28
82,Whitehorse,60.7161,-135.0538,30.2,80,75,17.27,CA,2021-01-18 02:53:22
83,Qaanaaq,77.484,-69.3632,-1.84,72,0,5.77,GL,2021-01-18 02:50:51
84,Lakes Entrance,-37.8811,147.981,78.01,49,0,5.01,AU,2021-01-18 02:58:28
85,Hami,42.8,93.45,20.19,71,0,0.51,CN,2021-01-18 02:51:14
86,Rocha,-34.4833,-54.3333,60.33,89,0,5.82,UY,2021-01-18 02:51:16
87,Xiongyue,40.1774,122.1228,10.18,71,9,21.63,CN,2021-01-18 02:58:29
88,Anito,12.4497,125.2886,77.7,89,100,11.9,PH,2021-01-18 02:58:29
89,Flinders,-34.5833,150.8552,78.01,70,0,5.01,AU,2021-01-18 02:51:57
90,Khed Brahma,24.0333,73.05,68.58,41,0,2.91,IN,2021-01-18 02:58:30
91,Salalah,17.0151,54.0924,60.8,36,0,2.3,OM,2021-01-18 02:52:34
92,Ambovombe,-25.1667,46.0833,76.57,83,78,3.6,MG,2021-01-18 02:53:40
93,Serebryansk,49.6925,83.2892,-2.2,78,75,2.24,KZ,2021-01-18 02:58:31
94,Roswell,34.0232,-84.3616,43.0,56,1,6.91,US,2021-01-18 02:50:13
95,Hadishahr,38.8431,45.6635,44.6,57,75,4.61,AZ,2021-01-18 02:58:32
96,Ekhabi,53.5102,142.9671,-15.75,85,9,16.82,RU,2021-01-18 02:58:32
97,Obo,5.3998,26.4869,62.55,31,100,1.03,CF,2021-01-18 02:58:32
98,Sept-Iles,50.2001,-66.3821,32.0,100,100,12.66,CA,2021-01-18 02:58:33
99,Santa Marta,11.2408,-74.199,82.0,68,3,18.01,CO,2021-01-18 02:58:33
100,Gilbues,-9.8317,-45.3439,76.96,66,98,1.61,BR,2021-01-18 02:58:33
101,Upernavik,72.7868,-56.1549,14.95,94,100,9.91,GL,2021-01-18 02:50:58
102,Caravelas,-17.7125,-39.2481,73.53,88,0,3.62,BR,2021-01-18 02:58:34
103,Pangnirtung,66.1451,-65.7125,-17.23,77,0,2.51,CA,2021-01-18 02:58:34
104,Faanui,-16.4833,-151.75,82.02,74,0,13.35,PF,2021-01-18 02:50:51
105,The Pas,53.8251,-101.2541,-2.2,78,90,5.75,CA,2021-01-18 02:58:35
106,Almora,29.6167,79.6667,45.82,65,0,1.77,IN,2021-01-18 02:58:35
107,Kloulklubed,7.0419,134.2556,78.8,89,90,8.05,PW,2021-01-18 02:58:35
108,Gamba,-2.65,10.0,76.66,85,100,4.85,GA,2021-01-18 02:58:35
109,La Plata,-34.9215,-57.9545,69.01,64,0,7.16,AR,2021-01-18 02:58:36
110,Gerash,27.6652,54.1371,48.2,57,0,2.75,IR,2021-01-18 02:58:36
111,Maarianhamina,60.0973,19.9348,30.2,74,90,5.75,AX,2021-01-18 02:58:36
112,Talnakh,69.4865,88.3972,-6.63,86,100,4.52,RU,2021-01-18 02:51:08
113,Lasa,46.6166,10.7002,28.0,80,75,8.05,IT,2021-01-18 02:53:29
114,Kurtalan,37.9272,41.7028,44.6,100,75,3.44,TR,2021-01-18 02:58:37
115,Vestmannaeyjar,63.4427,-20.2734,36.54,87,100,23.09,IS,2021-01-18 02:51:56
116,Cockburn Town,21.4612,-71.1419,78.13,81,100,14.83,TC,2021-01-18 02:58:37
117,Carnarvon,-24.8667,113.6333,87.8,74,59,8.05,AU,2021-01-18 02:51:50
118,Kruisfontein,-34.0033,24.7314,68.0,76,67,3.0,ZA,2021-01-18 02:52:46
119,Chuka,-0.3332,37.6459,58.68,70,28,3.62,KE,2021-01-18 02:58:38
120,Marsa Matruh,31.3525,27.2453,50.0,71,40,11.5,EG,2021-01-18 02:54:11
121,Manokwari,-0.8667,134.0833,84.02,69,100,5.93,ID,2021-01-18 02:58:38
122,Victoria Point,-27.5833,153.3,86.0,73,34,4.0,AU,2021-01-18 02:58:39
123,Ponta Do Sol,32.6667,-17.1,55.0,61,98,1.99,PT,2021-01-18 02:50:57
124,Severo-Yeniseyskiy,60.3725,93.0408,-4.34,92,100,4.63,RU,2021-01-18 02:51:55
125,Ribeira Grande,38.5167,-28.7,62.56,78,88,28.95,PT,2021-01-18 02:51:03
126,Petropavlovsk-Kamchatskiy,53.0452,158.6483,26.6,54,75,26.84,RU,2021-01-18 02:52:56
127,Hithadhoo,-0.6,73.0833,80.69,71,25,8.39,MV,2021-01-18 02:51:01
128,Geraldton,-28.7667,114.6,91.4,38,75,10.36,AU,2021-01-18 02:51:27
129,Flic En Flac,-20.2742,57.3631,81.0,83,75,11.5,MU,2021-01-18 02:58:40
130,Belaya Gora,68.5333,146.4167,-39.33,82,6,1.36,RU,2021-01-18 02:58:41
131,Shu,43.5983,73.7614,24.42,90,100,5.23,KZ,2021-01-18 02:58:41
132,Kalabo,-14.97,22.6814,67.68,76,100,3.89,ZM,2021-01-18 02:58:41
133,Betare Oya,5.6,14.0833,64.51,31,93,4.65,CM,2021-01-18 02:58:41
134,Tuatapere,-46.1333,167.6833,54.0,83,100,3.0,NZ,2021-01-18 02:52:01
135,Ambunti,-4.2365,142.8448,91.63,51,100,4.18,PG,2021-01-18 02:58:42
136,Chuy,-33.6971,-53.4616,61.86,81,0,5.93,UY,2021-01-18 02:50:44
137,Lorengau,-2.0226,147.2712,85.82,68,40,13.87,PG,2021-01-18 02:50:33
138,Mandalgovi,45.7625,106.2708,9.09,86,41,6.02,MN,2021-01-18 02:58:43
139,Daru,-9.0763,143.2092,86.61,73,100,2.21,PG,2021-01-18 02:53:03
140,Hovd,48.0056,91.6419,2.52,78,2,1.5,MN,2021-01-18 02:52:15
141,Cidreira,-30.1811,-50.2056,72.97,91,100,13.78,BR,2021-01-18 02:51:42
142,Karratha,-20.7377,116.8463,97.86,37,10,15.88,AU,2021-01-18 02:58:44
143,Tiksi,71.6872,128.8694,-22.16,87,100,7.36,RU,2021-01-18 02:50:59
144,Baykit,61.67,96.37,-18.72,83,100,2.68,RU,2021-01-18 02:51:49
145,Yulara,-25.2406,130.9889,86.0,10,0,16.11,AU,2021-01-18 02:58:45
146,Norman Wells,65.282,-126.8329,-9.4,84,75,2.3,CA,2021-01-18 02:51:31
147,Payo,-3.7508,103.6372,73.24,96,100,3.71,ID,2021-01-18 02:58:46
148,Bengkulu,-3.8004,102.2655,79.52,81,96,5.97,ID,2021-01-18 02:49:13
149,Kasungu,-13.0333,33.4833,66.29,94,100,2.8,MW,2021-01-18 02:54:12
150,Coihaique,-45.5752,-72.0662,57.2,72,75,5.75,CL,2021-01-18 02:52:02
151,Udalguri,26.7667,92.1333,66.54,55,0,5.61,IN,2021-01-18 02:58:47
152,Antalaha,-14.9003,50.2788,76.01,88,100,4.47,MG,2021-01-18 02:58:47
153,Vila Velha,-20.3297,-40.2925,77.0,83,40,5.75,BR,2021-01-18 02:48:29
154,Codrington,-38.2667,141.9667,63.03,68,81,16.17,AU,2021-01-18 02:53:03
155,Tondano,1.3038,124.9112,84.2,79,75,8.05,ID,2021-01-18 02:58:48
156,Casablanca,33.5928,-7.6192,53.01,100,0,1.14,MA,2021-01-18 02:56:17
157,Rigaud,45.4793,-74.3024,23.0,86,16,3.0,CA,2021-01-18 02:58:49
158,Matagami,49.7502,-77.6328,6.8,92,90,16.11,CA,2021-01-18 02:52:00
159,Praia Da Vitoria,38.7333,-27.0667,61.0,94,75,23.22,PT,2021-01-18 02:51:25
160,Lorsch,49.6547,8.5686,36.0,95,99,6.08,DE,2021-01-18 02:57:23
161,Deputatskiy,69.3,139.9,-36.9,85,85,1.61,RU,2021-01-18 02:58:50
162,Iskateley,67.6803,53.1512,-16.37,89,7,3.78,RU,2021-01-18 02:58:50
163,Krasnoselkup,65.7,82.4667,-7.44,90,100,9.46,RU,2021-01-18 02:47:51
164,Portland,45.5234,-122.6762,46.4,87,75,0.6,US,2021-01-18 02:51:34
165,Hanzhong,33.0728,107.0303,42.1,57,0,1.43,CN,2021-01-18 02:58:51
166,Torbay,47.6666,-52.7314,39.0,100,75,20.71,CA,2021-01-18 02:58:51
167,Saldanha,-33.0117,17.9442,62.6,82,0,4.61,ZA,2021-01-18 02:50:07
168,Marsh Harbour,26.5412,-77.0636,66.65,67,100,16.2,BS,2021-01-18 02:58:51
169,Alofi,-19.0595,-169.9187,87.8,66,75,9.22,NU,2021-01-18 02:51:56
170,Naifaru,5.4444,73.3657,81.32,80,3,12.75,MV,2021-01-18 02:58:52
171,Ust-Tsilma,65.441,52.1498,-20.99,87,7,2.71,RU,2021-01-18 02:53:32
172,Naze,28.3667,129.4833,55.4,67,75,6.91,JP,2021-01-18 02:58:53
173,San Patricio,28.017,-97.5169,60.8,72,1,8.05,US,2021-01-18 02:58:53
174,Lompoc,34.6391,-120.4579,62.01,55,0,4.61,US,2021-01-18 02:50:50
175,Rodrigues Alves,-7.738,-72.6509,74.62,92,95,2.53,BR,2021-01-18 02:58:53
176,Lavrentiya,65.5833,-171.0,-12.33,82,100,9.28,RU,2021-01-18 02:50:41
177,Manaure,11.7751,-72.4445,77.81,76,3,13.53,CO,2021-01-18 02:58:54
178,Zeya,53.75,127.2667,-16.22,72,89,3.29,RU,2021-01-18 02:51:17
179,Westport,41.1415,-73.3579,42.8,61,90,12.66,US,2021-01-18 02:46:05
180,Presidencia Roque Saenz Pena,-26.7852,-60.4388,69.01,66,0,1.99,AR,2021-01-18 02:52:28
